Gene,Label,Func_likelihood,Fam_size,Max_id_paralog,WGD_alpha,WGD_beta_gamma,Dup_recent,Dup_tandem,Singleton,Max_PCC_GM_abiotic,Max_PCC_SM_abiotic,Max_PCC_GM_biotic,Max_PCC_SM_biotic,Max_PCC_GM_hormone,Max_PCC_SM_hormone,Expr_med_dev,Expr_max_dev,Expr_breadth_dev
AT4G00600,GM,,,,1,1,1,1,0,,,,,,,,,
AT1G34520,GM,,,,1,1,0,1,0,,,,,,,,,
AT1G25054,GM,,,,1,1,1,1,0,,,,,,,,,
AT1G22340,GM,0.378,115,80.17,0,0,0,1,0,0.675,0.699,0.902,0.937,0.798,0.649,27.86430384,110.8086933,35
AT3G55700,GM,0.496,115,78.16,0,0,0,1,0,0.627,0.532,0.837,0.678,0.683,0.658,11.0151805,58.7437846,13
AT1G06090,GM,,,,NA,NA,0,1,0,,,,,,,,,
AT1G34490,GM,,,,1,0,0,1,0,,,,,,,,,
AT5G39090,GM,0.531,59,68.32,0,0,0,1,0,0.829,0.76,0.928,0.9,0.867,0.778,47.53485224,947.2413525,55
AT1G13140,GM,0.82,34,83.91,1,1,0,1,0,0.784,0.65,0.742,0.722,0.756,0.799,11.31602531,2875.705177,10
AT1G74110,GM,0.27,180,61.95,1,0,0,0,0,0.804,0.765,0.958,0.964,0.848,0.508,3.912816594,9.470949396,0
AT1G13150,GM,0.85,34,83.91,1,0,0,1,0,0.78,0.846,0.819,0.776,0.726,0.618,10.08159255,1026.395269,7
AT1G64930,GM,0.32,180,87.87,1,0,0,1,0,0.598,0.61,0.896,0.859,0.792,0.787,15.21614718,76.71255433,6
AT5G61320,GM,0.685,180,72.77,0,0,0,0,0,0.686,0.686,0.756,0.747,0.768,0.61,7.697189793,56.94254305,2
AT4G16765,GM,,,,0,0,0,1,0,,,,,,,,,
AT3G55710,GM,0.93,115,78.16,0,0,0,1,0,0.787,0.79,0.662,0.602,0.94,0.873,50.13431009,922.1777595,39
AT1G22370,GM,0.655,115,78.51,0,0,0,0,0,0.895,0.861,0.715,0.72,0.925,0.927,60.57311952,530.922382,48
AT2G36970,GM,0.61,115,57.3,0,0,0,0,0,0.727,0.719,0.863,0.826,0.585,0.611,66.47464459,881.5149733,47
AT3G52970,GM,0.63,180,42.5,1,1,,,,0.679,0.769,0.869,0.818,0.795,0.718,3.296482042,212.8122842,7
AT5G04630,GM,0.302,180,76.91,NA,NA,0,1,0,0.96,0.908,0.893,0.854,0.781,0.728,3.906031952,5.763662569,0
AT1G22380,GM,0.774,115,80.17,0,0,0,1,0,0.7,0.623,0.91,0.897,0.775,0.824,15.5258833,3991.43411,13
AT1G64900,GM,0.96,180,84.26,1,0,0,1,0,0.751,0.659,0.818,0.849,0.824,0.827,218.0207123,990.1879627,60
AT1G22360,GM,0.85,115,80.17,0,0,0,1,0,0.724,0.582,0.764,0.794,0.704,0.679,312.8358213,1727.196034,63
AT5G05900,GM,0.21,115,79.26,0,0,0,1,0,0.751,0.752,0.903,0.857,0.811,0.775,5.614833708,57.91423331,2
AT3G54900,unknown,1,37,54.26,0,1,0,0,0,0.865,0.756,0.956,0.9,0.867,0.676,698.7835224,2448.363805,63
AT5G41040,unknown,0.94,59,63.62,1,1,0,0,1,0.671,0.64,0.806,0.666,0.849,0.874,6.546104788,3417.672852,16
AT3G19710,unknown,,,,0,0,0,0,0,,,,,,,,,
AT3G44540,unknown,0.704,9,73.83,0,0,0,1,0,0.703,0.604,0.808,0.617,0.819,0.779,4.506730788,1288.908362,16
AT2G43910,unknown,,,,0,1,0,0,0,,,,,,,,,
AT3G44550,unknown,0.766,9,85.48,1,0,0,1,0,0.716,0.716,0.761,0.794,0.842,0.73,8.755217916,391.5653861,15
AT3G49210,unknown,0.77,12,75.88,0,0,0,1,0,0.851,0.834,0.882,0.876,0.824,0.75,24.65443591,833.5867022,32
AT5G23190,unknown,0.8,34,80.89,1,0,0,0,0,0.625,0.611,0.835,0.875,0.903,0.877,7.800994543,2083.799984,17
AT5G58860,unknown,0.86,34,63.64,1,0,0,0,0,0.59,0.659,0.911,0.89,0.897,0.859,3.468506535,1004.000981,13
AT4G20200,unknown,0.097,34,73.52,0,0,1,1,0,0.718,0.71,0.903,0.875,0.837,0.809,7.11214806,26.31951272,1
AT2G45560,unknown,0.93,180,77.15,0,0,0,1,0,0.891,0.882,0.938,0.922,0.8,0.629,76.48407208,3923.376521,52
AT3G29190,unknown,0.14,34,65.78,0,0,1,0,0,0.75,0.753,0.899,0.903,0.75,0.64,8.785298176,370.2159308,8
AT1G62380,unknown,0.956,99,85,0,0,0,0,0,0.664,0.512,0.889,0.766,0.806,0.766,1548.982067,11963.97782,63
AT2G30870,unknown,0.95,14,80.37,1,0,0,1,0,0.823,0.862,0.899,0.906,0.856,0.815,2456.336158,9639.77301,62
AT1G04220,unknown,,21,84.23,0,0,0,0,0,0.946,0.906,0.752,0.705,0.905,0.935,174.6704175,1934.711949,53
AT2G23230,unknown,0.057,34,55.41,0,0,0,0,0,0.83,0.677,0.779,0.721,0.787,0.626,9.819864797,221.3562766,3
AT5G48110,unknown,0.536,34,44.55,0,0,1,0,0,0.741,0.708,0.87,0.884,0.749,0.721,8.317797565,476.9943776,12
AT5G63560,unknown,0.729,59,76.33,0,0,0,0,0,0.722,0.718,0.776,0.624,0.783,0.706,4.714516488,1957.406907,12
AT1G43620,GM,0.73,3,57.26,0,1,0,0,0,0.908,0.856,0.788,0.747,0.837,0.848,185.9940872,553.1143429,64
AT5G19850,unknown,,12,33.45,0,0,0,0,0,0.841,0.836,0.693,0.641,0.898,0.906,121.8940364,481.865901,61
AT1G15540,,,,,1,0,0,0,0,,,,,,,,,
AT1G52790,,,,,0,1,1,1,0,,,,,,,,,
AT1G52800,,0.35,99,47.4,0,1,1,1,0,0.654,0.493,0.798,0.67,0.71,0.695,4.394272165,135.8499527,6
AT1G52820,,0.65,99,62.58,0,0,1,1,0,0.719,0.71,0.727,0.739,0.62,0.618,5.208715771,1807.321699,6
AT1G80320,,,99,53.42,0,0,0,1,0,0.686,0.637,0.948,0.977,0.842,0.822,3.513683823,118.5924362,3
AT3G16390,unknown,,,,1,0,0,1,0,,,,,,,,,
AT3G16400,unknown,,,,0,0,1,1,0,,,,,,,,,
AT3G16410,unknown,,,,1,0,1,1,0,,,,,,,,,
AT5G36790,unknown,,,,0,0,1,0,0,,,,,,,,,
AT4G13410,unknown,0.685,14,82.21,0,0,0,0,0,0.804,0.704,0.664,0.579,0.943,0.966,13.26365788,270.2227761,16
AT4G08170,SM,0.98,4,66.78,0,0,,,,0.771,0.805,0.857,0.855,0.959,0.949,136.0414332,657.2314113,64
AT3G01310,SM,0.98,2,87.76,1,0,0,0,0,0.955,0.832,0.843,0.782,0.801,0.669,519.057867,952.8214676,64
AT5G58730,SM,0.97,1,57.89,1,0,0,0,0,0.834,0.769,0.88,0.849,0.823,0.735,132.3698825,1977.890634,64
AT2G43980,SM,1,4,29.44,0,0,0,0,0,0.756,0.72,0.842,0.76,0.778,0.642,85.47694219,175.2795357,63
AT5G42810,SM,,6,67.65,1,0,0,0,0,0.828,0.817,0.852,0.698,0.865,0.835,169.5672639,706.1258867,63
AT3G48000,SM,1,14,77.34,0,0,0,0,0,0.897,0.843,0.837,0.844,0.799,0.796,1577.356395,3985.596764,64
AT2G26310,SM,,,,0,0,0,0,0,,,,,,,,,
AT1G72640,SM,,,,0,0,0,0,1,,,,,,,,,
AT2G37790,SM,0.96,10,81.27,1,0,0,1,0,0.894,0.85,0.92,0.855,0.787,0.676,248.6263478,606.0754256,63
AT5G07830,SM,,3,72.74,1,0,0,0,0,0.893,0.843,0.791,0.816,0.861,0.685,423.0310311,5004.109175,64
AT4G39230,SM,1,8,68.18,1,0,0,0,0,0.851,0.805,0.819,0.771,0.796,0.726,81.25013227,1623.885099,60
AT5G66220,SM,,3,67.09,1,0,0,0,,0.563,0.524,0.756,0.631,0.768,0.742,7.122409185,16.66094454,0
AT3G61220,SM,,6,83.83,1,0,,,,0.79,0.803,0.736,0.658,0.951,0.894,466.2293998,1142.809643,62
AT4G13660,SM,0.526,8,81.07,1,0,0,0,0,0.792,0.909,0.786,0.754,0.921,0.88,9.435699513,3414.963468,14
AT2G37770,SM,0.99,10,81.27,0,1,0,0,0,0.871,0.812,0.913,0.915,0.942,0.94,48.3500047,7009.021333,43
AT3G24503,SM,,14,57.82,1,0,0,0,0,0.748,0.712,0.842,0.87,0.771,0.692,1337.192977,5767.1432,64
AT1G44170,SM,,14,61.92,0,0,0,0,0,0.756,0.734,0.885,0.892,0.963,0.894,534.6642399,2473.729146,64
AT3G50790,SM,0.99,4,34.82,0,0,0,0,0,0.904,0.807,0.961,0.902,0.834,0.75,268.5553959,629.1507275,64
AT5G48020,SM,0.95,1,27.5,0,0,,,,0.804,0.575,0.923,0.909,0.847,0.776,272.0855065,797.7335838,64
AT3G32030,SM,,,,0,0,0,0,0,,,,,,,,,
AT5G49950,SM,,4,53.72,1,1,0,0,,0.857,0.781,0.861,0.813,0.892,0.854,177.1822843,404.0979605,64
AT5G16410,SM,,,,0,0,0,0,0,,,,,,,,,
AT4G23340,SM,,,,1,0,0,0,0,,,,,,,,,
AT4G29250,SM,,4,34.39,0,1,0,0,,0.662,0.704,0.83,0.73,0.861,0.771,7.807364239,767.3252566,4
AT5G02890,SM,0.99,1,30.96,1,0,0,0,,0.907,0.822,0.94,0.879,0.783,0.686,121.5478617,588.6574028,57
AT4G28420,SM,0.148,11,75.29,0,0,0,0,0,0.821,0.796,0.807,0.736,0.667,0.632,7.318703648,33.510011,2
AT5G66230,SM,,2,60.82,0,0,0,0,0,0.867,0.6,0.882,0.79,0.825,0.771,88.01862169,1702.774317,58
AT4G30550,SM,,5,76.92,0,0,0,1,0,0.861,0.785,0.778,0.782,0.799,0.729,483.2059266,1244.393001,64
AT5G07800,SM,0.745,16,73.87,0,0,0,0,0,0.636,0.676,0.896,0.861,0.692,0.613,56.02436569,318.1386027,55
AT1G10830,unknown,1,1,,0,0,0,0,0,0.845,0.683,0.825,0.824,0.908,0.759,197.9125038,705.2641113,64
AT3G09580,unknown,0.98,1,,1,0,0,0,1,0.929,0.84,0.897,0.878,0.851,0.712,200.0859615,931.7561079,55
AT1G05470,unknown,0.965,11,90.79,0,0,0,0,0,0.778,0.712,0.772,0.882,0.799,0.818,46.56887571,195.6646672,45
AT3G04870,unknown,,2,31.23,1,0,0,0,0,0.828,0.847,0.89,0.768,0.851,0.783,640.3967485,1941.004329,63
AT5G17230,unknown,0.95,1,,0,0,,,,0.758,0.722,0.944,0.901,0.777,0.664,1787.51865,3916.423492,64
AT3G10230,unknown,,2,37.05,0,0,0,0,0,0.925,0.77,0.909,0.83,0.945,0.897,513.6390651,1419.711221,64
AT1G08550,unknown,0.97,1,20.5,0,0,0,0,0,0.879,0.8,0.964,0.895,0.735,0.643,351.0889219,1831.084203,63
AT2G43900,unknown,0.96,4,65.67,0,0,0,0,0,0.737,0.693,0.855,0.863,0.724,0.549,76.74925549,1430.225663,64
AT4G14210,unknown,0.99,2,45.28,0,0,0,0,1,0.875,0.751,0.94,0.858,0.79,0.617,905.3097264,1873.016431,63
AT5G15070,unknown,0.89,2,87.76,1,0,,,,0.653,0.591,0.911,0.972,0.694,0.774,11.20008168,390.5792056,18
AT1G71710,unknown,0.99,11,64.79,0,0,0,0,0,0.855,0.684,0.816,0.765,0.642,0.486,136.1100032,768.9676948,63
AT5G07370,unknown,0.917,2,73.85,0,0,,,,0.713,0.656,0.741,0.607,0.7,0.713,578.3121113,1149.674171,64
AT3G19420,unknown,1,2,58.11,1,0,0,0,0,0.743,0.748,0.812,0.69,0.926,0.899,444.5556739,1190.461435,64
AT5G58070,unknown,,2,24.56,1,0,0,0,0,0.731,0.637,0.755,0.696,0.9,0.828,1333.948974,12502.57709,64
AT2G20340,unknown,0.97,2,69.8,1,0,0,0,0,0.743,0.635,0.901,0.894,0.896,0.902,120.0588478,467.6302119,58
AT3G63170,unknown,,2,34.87,1,0,0,0,1,0.92,0.724,0.966,0.921,0.802,0.749,301.5553687,1088.181175,64
AT5G16760,unknown,1,4,44.27,1,0,0,0,0,0.869,0.808,0.833,0.72,0.868,0.845,833.5561412,2853.19408,64
AT2G21860,unknown,0.87,1,19.4,1,0,0,0,1,0.798,0.653,0.924,0.864,0.854,0.752,283.5845518,1352.137882,64
AT3G47860,unknown,0.99,2,24.56,1,0,0,0,0,0.947,0.84,0.91,0.823,0.963,0.96,832.5545452,3015.38987,61
AT4G28680,unknown,0.91,2,70.19,0,0,,,,0.789,0.692,0.815,0.636,0.632,0.715,23.97181948,1129.145182,30
AT5G61250,unknown,,3,72.74,0,0,,,,0.733,0.7,0.835,0.65,0.704,0.745,30.48704181,278.1780198,48
AT4G39800,unknown,1,3,93.54,1,0,0,0,0,0.694,0.622,0.88,0.841,0.801,0.548,1611.425323,7700.393629,64
AT3G43600,unknown,0.935,10,96.43,0,0,0,0,0,0.839,0.784,0.846,0.777,0.876,0.814,86.89427819,736.7961323,47
AT5G10170,unknown,,3,89.8,NA,NA,0,0,0,0.902,0.849,0.893,0.924,0.705,0.63,136.3889821,1745.548043,53
AT2G22240,unknown,,3,93.54,1,0,0,0,0,0.874,0.711,0.79,0.714,0.966,0.961,353.9354502,7036.847244,64
AT4G18010,unknown,0.95,11,56.43,0,0,0,0,,0.817,0.828,0.883,0.887,0.751,0.76,117.742331,1781.918589,54
AT2G21530,unknown,,,,0,0,0,0,0,,,,,,,,,
AT4G28410,unknown,0.579,11,63.06,0,0,0,1,0,0.794,0.754,0.811,0.817,0.693,0.712,5.453709834,147.7670012,6
AT5G20960,unknown,0.839,10,74.47,0,0,0,0,0,0.89,0.9,0.885,0.871,0.905,0.752,56.90926861,3048.181641,50
AT2G20610,unknown,0.98,11,72.89,NA,NA,0,0,0,0.758,0.896,0.862,0.94,0.905,0.975,730.9783514,3269.038834,63
AT1G78960,unknown,0.98,15,79.47,0,0,0,1,0,0.532,0.537,0.77,0.638,0.893,0.862,84.91082334,8086.681525,64
AT4G14940,SM,,10,50.55,1,0,0,0,0,0.57,0.553,0.82,0.702,0.919,0.886,11.66403917,135.9853635,12
AT4G36250,SM,0.97,14,48.4,1,0,0,0,0,0.769,0.743,0.947,0.839,0.709,0.538,579.279231,3555.821209,61
AT5G13930,SM,,5,40.16,0,0,0,0,0,0.776,0.845,0.844,0.892,0.88,0.883,2746.518031,16547.73375,61
AT2G19070,SM,,,,0,1,0,0,,,,,,,,,,
AT4G16330,SM,0.936,99,39.55,0,0,,,,0.864,0.783,0.872,0.712,0.745,0.614,460.922806,838.391031,64
AT1G75280,SM,1,8,84.24,0,1,0,1,0,0.79,0.717,0.741,0.686,0.851,0.87,1491.610788,12540.26339,64
AT5G05270,SM,0.98,1,,1,1,0,0,0,0.793,0.848,0.8,0.761,0.8,0.911,336.24841,2355.813212,60
AT1G54100,SM,1,14,31.48,NA,NA,0,0,0,0.913,0.898,0.941,0.926,0.943,0.919,1076.496039,6671.773332,64
AT4G36470,SM,0.83,25,41.76,1,1,0,0,0,0.845,0.778,0.724,0.726,0.874,0.87,13.24884271,88.65015356,12
AT2G24190,SM,,,,1,0,,,,,,,,,,,,
AT3G55120,SM,1,3,67.09,1,0,0,0,0,0.745,0.829,0.663,0.571,0.807,0.796,362.9023128,2368.812314,63
AT3G16520,SM,0.94,115,40.82,0,0,,,,0.81,0.67,0.908,0.837,0.876,0.814,1199.239926,3763.751832,64
AT1G78955,SM,,,,NA,NA,0,1,0,,,,,,,,,
AT4G03070,SM,,99,65.04,0,0,1,1,0,0.867,0.85,0.942,0.892,0.761,0.652,82.81675165,764.3250665,58
AT3G60290,SM,0.9,99,80.34,0,0,0,0,0,0.752,0.599,0.802,0.741,0.648,0.688,40.24477405,638.5044485,41
AT4G30530,SM,1,5,72.69,0,0,0,1,0,0.857,0.881,0.85,0.858,0.95,0.946,2087.211873,7947.104942,64
AT3G62750,SM,,,,0,0,0,1,0,,,,,,,,,
AT5G25980,SM,,,,0,0,0,0,0,,,,,,,,,
AT1G16400,SM,,,,1,0,0,1,0,,,,,,,,,
AT3G45070,SM,,,,0,0,0,1,0,,,,,,,,,
AT1G61720,SM,0.805,26,40.37,0,0,0,0,0,0.637,0.616,0.78,0.781,0.486,0.568,6.522684954,4042.563612,9
AT4G34240,SM,0.975,14,61.92,1,0,0,0,,0.786,0.761,0.716,0.694,0.839,0.88,520.1342575,1108.973111,63
AT1G07240,SM,0.855,115,55.16,1,0,0,1,0,0.78,0.696,0.896,0.887,0.878,0.802,192.1857535,710.2140899,64
AT1G61820,SM,0.86,48,79.25,0,1,0,1,0,0.609,0.602,0.922,0.873,0.743,0.718,40.43669623,1541.124191,46
AT1G54870,SM,0.879,66,79.15,NA,NA,0,0,0,0.982,0.827,0.859,0.856,0.827,0.714,4.789140833,18439.23867,10
AT3G29590,SM,0.34,59,49.77,0,0,0,0,0,0.697,0.812,0.807,0.803,0.774,0.845,5.945207821,564.2322896,9
AT4G15393,SM,,,,0,0,0,0,0,,,,,,,,,
AT4G34135,SM,,,,0,0,0,1,0,,,,,,,,,
AT2G29730,SM,,,,1,1,0,1,0,,,,,,,,,
AT5G42800,SM,0.945,26,44.98,0,0,0,0,0,0.718,0.958,0.889,0.926,0.773,0.88,22.48820832,5724.542049,31
AT3G30290,SM,0.036,31,71.26,1,0,0,0,0,0.758,0.603,0.851,0.854,0.817,0.738,3.930326388,16.08912379,0
AT1G65880,SM,0.41,31,91.03,1,0,1,1,0,0.715,0.733,0.815,0.783,0.749,0.563,8.171552217,2156.825944,7
AT3G12900,SM,0.103,99,49.72,1,1,0,0,0,0.713,0.724,0.584,0.563,0.783,0.751,6.350697122,46.66059571,3
AT5G07480,SM,0.201,99,46.15,1,1,0,0,0,0.772,0.687,0.823,0.762,0.866,0.833,4.390395223,9.191428241,0
AT1G74100,SM,0.96,18,77.78,0,0,0,1,0,0.834,0.837,0.836,0.855,0.944,0.949,821.8808876,3328.743798,63
AT1G12140,SM,,16,76.19,0,0,0,1,0,0.744,0.676,0.865,0.754,0.835,0.655,451.445466,1759.33762,64
AT5G07990,SM,0.85,180,41.45,0,0,0,0,0,0.633,0.671,0.93,0.875,0.785,0.651,153.7583051,3429.173133,59
AT1G61810,SM,0.317,48,77.06,0,0,,,,0.783,0.757,0.855,0.91,0.767,0.613,29.9038863,2891.11047,42
AT5G10600,SM,,,,0,0,0,1,0,,,,,,,,,
AT1G62560,SM,0.87,16,79.91,0,0,0,1,0,0.889,0.799,0.819,0.892,0.87,0.851,189.1190045,2922.342364,54
AT1G74090,SM,0.95,18,80.18,0,0,0,1,0,0.767,0.901,0.921,0.928,0.708,0.884,672.390739,3989.199862,64
AT4G22880,SM,,,,0,0,0,1,0,,,,,,,,,
AT1G18590,SM,0.88,18,80.18,0,0,0,0,0,0.799,0.961,0.89,0.951,0.871,0.94,342.35166,2765.413556,59
AT4G33110,SM,,,,1,0,0,1,0,,,,,,,,,
AT5G26000,SM,,,,1,1,0,1,0,,,,,,,,,
AT5G10610,SM,,,,0,0,0,1,0,,,,,,,,,
AT2G25450,SM,0.89,99,70.64,1,0,0,0,0,0.669,0.705,0.891,0.844,0.856,0.852,2513.406976,13791.81761,61
AT4G10500,SM,0.49,99,75.43,0,0,0,1,0,0.851,0.688,0.636,0.498,0.755,0.719,30.52342249,2296.342753,33
AT3G51240,SM,,99,40,0,0,0,0,0,0.815,0.848,0.735,0.674,0.814,0.911,858.5077225,10283.54305,61
AT5G05600,SM,1,99,74.66,0,0,0,0,0,0.754,0.759,0.917,0.909,0.972,0.961,197.6947198,1107.783938,55
AT5G04380,SM,0.405,25,72.32,0,0,0,1,0,0.964,0.875,0.796,0.73,0.958,0.955,9.463923172,1012.842091,6
AT4G33120,SM,,,,0,0,0,1,0,,,,,,,,,
AT3G61880,SM,0.8,180,80.97,0,0,,,,0.681,0.663,0.84,0.763,0.927,0.852,20.82942803,4828.993814,28
AT2G44800,SM,,99,80.34,0,0,0,0,0,0.841,0.841,0.841,0.855,0.719,0.708,6.632776219,37.8998936,2
AT2G46660,SM,0.51,180,80.78,0,0,0,0,0,0.723,0.689,0.901,0.853,0.725,0.64,12.05994176,91.57918615,9
AT1G74550,SM,,180,71.71,0,0,0,1,0,0.729,0.73,0.778,0.674,0.832,0.795,14.62233641,600.0406626,12
AT5G04370,SM,0.532,25,74.08,0,0,0,0,0,0.968,0.954,0.865,0.864,0.932,0.884,5.679502338,374.2062603,12
AT4G37430,SM,,180,71.02,0,0,0,1,0,0.868,0.846,0.965,0.951,0.845,0.763,47.43646174,2435.269344,47
AT4G34131,SM,,,,0,0,0,1,0,,,,,,,,,
AT5G54010,SM,0.37,115,71.55,0,0,0,1,0,0.811,0.803,0.857,0.815,0.693,0.529,19.88078435,921.9879614,13
AT1G62570,SM,0.98,16,77.66,0,0,0,1,0,0.912,0.769,0.95,0.926,0.935,0.883,95.37457771,2860.505752,59
AT1G21130,SM,0.75,17,96.51,0,0,0,1,0,0.889,0.652,0.833,0.84,0.745,0.742,113.9037285,2170.628114,39
AT1G62540,SM,0.53,16,81.18,0,0,0,1,0,0.926,0.841,0.886,0.861,0.917,0.94,47.35009859,301.5572618,48
AT5G05260,SM,0.068,180,82.55,0,0,0,0,0,0.778,0.796,0.866,0.878,0.586,0.626,6.012085148,13.59192573,0
AT1G21120,SM,0.15,17,97.86,0,0,1,1,0,0.863,0.981,0.812,0.967,0.776,0.661,53.14758733,1074.50094,53
AT5G59580,SM,0.72,115,88.2,0,0,0,1,0,0.688,0.933,0.941,0.653,0.745,0.712,9.474442954,31.00434207,1
AT1G01420,SM,0.548,115,78.2,0,0,0,1,0,0.8,0.702,0.884,0.735,0.565,0.474,12.72591293,73.15444446,11
AT4G37400,SM,0.47,180,75.1,0,0,0,1,0,0.556,0.523,0.837,0.768,0.809,0.83,6.763656276,187.5869352,12
AT1G66270,SM,,,,0,0,0,1,0,,,,,,,,,
AT5G49690,SM,0.554,115,48.25,0,0,0,0,0,0.816,0.818,0.977,0.899,0.731,0.714,6.123075764,171.9933862,3
AT5G66690,SM,0.72,115,85.65,0,0,0,0,0,0.763,0.71,0.7,0.736,0.825,0.651,25.58487859,5220.406193,38
AT1G21100,SM,0.564,17,96.51,0,0,0,1,0,0.733,0.831,0.814,0.856,0.726,0.754,9.22318801,4122.099174,20
AT5G57220,SM,0.597,180,71.89,0,0,0,1,0,0.895,0.881,0.86,0.875,0.819,0.738,23.29142044,5444.960131,32
AT3G46670,SM,,115,82.78,NA,NA,0,1,0,0.735,0.764,0.91,0.885,0.871,0.802,122.3886224,1190.501671,54
AT5G63600,SM,0.44,99,57.82,0,0,0,0,0,0.882,0.909,0.958,0.956,0.907,0.8,7.172611926,8612.786059,12
AT1G07250,SM,0.99,115,64.14,0,0,0,1,0,0.847,0.792,0.799,0.674,0.909,0.861,345.8772471,831.8691642,64
AT3G53280,SM,0.73,180,79.09,0,0,0,1,0,0.707,0.543,0.808,0.748,0.843,0.687,93.58247327,575.4852235,44
AT1G01390,SM,0.453,115,78.2,0,0,0,1,0,0.762,0.675,0.895,0.871,0.796,0.673,9.663752721,152.4112649,16
AT1G12200,SM,0.94,16,75.15,0,0,0,1,0,0.785,0.771,0.847,0.748,0.712,0.77,130.2567855,1679.209816,57
AT2G26480,SM,0.468,115,48.89,0,0,0,0,0,0.665,0.774,0.645,0.644,0.809,0.653,12.43835396,117.3475026,12
AT3G13610,SM,,99,77.31,0,0,0,0,0,0.866,0.811,0.815,0.806,0.954,0.823,14.96456209,3076.817206,26
AT1G66280,SM,,,,0,0,0,1,0,,,,,,,,,
AT4G03050,SM,0.556,99,65.04,0,0,,,,0.858,0.823,0.749,0.811,0.758,0.664,24.48088228,6241.68619,32
AT1G24100,SM,0.96,115,43.78,0,0,0,0,,0.811,0.897,0.848,0.949,0.924,0.961,838.8472757,3400.251467,64
AT1G50520,SM,,180,81.5,0,0,0,1,0,0.64,0.549,0.94,0.911,0.794,0.682,8.613434188,153.2035448,7
AT5G63590,SM,0.76,99,70.85,0,0,0,1,0,0.662,0.636,0.738,0.65,0.811,0.774,12.22004218,755.1190607,13
AT5G08640,SM,0.97,99,70.73,0,0,0,0,0,0.805,0.768,0.762,0.843,0.838,0.883,741.1235686,8601.236328,61
AT1G07260,SM,0.78,115,69.13,0,0,0,1,0,0.696,0.568,0.844,0.816,0.812,0.815,16.70108285,423.6484393,23
AT4G15280,SM,0.44,115,83.89,0,0,0,1,0,0.657,0.628,0.956,0.943,0.769,0.796,13.34328633,33.54912566,1
AT2G29750,SM,0.63,115,79.75,0,0,0,1,0,0.645,0.653,0.823,0.708,0.86,0.8,3.669548459,508.3124068,9
AT4G10490,SM,0.446,99,75.43,0,0,0,1,0,0.83,0.807,0.915,0.907,0.723,0.613,5.505433087,276.5919315,7
AT3G46650,SM,0.2,115,72.83,0,0,0,1,0,0.76,0.811,0.759,0.653,0.691,0.718,23.19882865,137.4893354,27
AT3G28740,SM,,180,69.54,0,0,0,0,0,0.753,0.779,0.793,0.771,0.873,0.904,10.53540088,1890.462688,28
AT3G53300,SM,0.33,180,82.57,NA,NA,1,1,0,0.753,0.785,0.911,0.783,0.754,0.685,5.354319367,12739.81873,4
AT5G59590,SM,0.579,115,88.2,0,0,0,1,0,0.57,0.661,0.895,0.864,0.831,0.812,18.8411083,554.2169188,14
AT5G26310,SM,0.49,115,85.65,0,0,0,0,0,0.75,0.757,0.831,0.738,0.75,0.651,3.644479611,142.1234257,9
AT3G20140,SM,0.22,180,71.64,0,0,0,1,0,0.852,0.786,0.929,0.908,0.775,0.642,10.37732213,46.49130972,2
AT2G24180,SM,,180,50.55,0,0,0,0,0,0.888,0.808,0.934,0.873,0.746,0.599,305.5205867,1818.126064,64
AT4G14090,SM,,115,45.97,0,0,0,0,0,0.834,0.928,0.746,0.684,0.717,0.852,10.78977271,3438.766067,16
AT1G30530,SM,0.91,115,71.74,NA,NA,0,0,0,0.844,0.835,0.89,0.828,0.873,0.876,698.1622577,2877.220813,64
AT5G17050,SM,0.905,115,75.92,0,0,0,1,0,0.798,0.844,0.808,0.892,0.631,0.812,298.4208483,2341.223485,62
AT5G17030,SM,0.277,115,76.56,0,0,0,1,0,0.835,0.847,0.856,0.846,0.849,0.823,41.09529952,471.985827,63
AT1G13080,SM,0.86,180,60.52,1,0,0,1,0,0.813,0.677,0.893,0.837,0.81,0.753,298.0195179,2339.012068,64
AT1G74540,SM,,180,70.02,0,0,0,1,0,0.895,0.828,0.776,0.762,0.738,0.612,5.755602753,1885.447756,6
AT5G42580,SM,0.37,180,66.04,0,0,0,1,0,0.859,0.816,0.848,0.767,0.925,0.902,15.74712727,1247.417865,11
AT4G37410,SM,,180,75.1,0,0,0,1,0,0.727,0.818,0.767,0.677,0.893,0.895,53.91979378,30288.30136,43
AT2G15480,SM,,115,90.35,1,0,0,1,0,0.906,0.926,0.837,0.882,0.864,0.788,28.24472633,757.9515307,41
AT1G13100,SM,0.43,180,79.57,0,0,0,1,0,0.648,0.665,0.86,0.862,0.794,0.833,24.73070601,105.125899,33
AT3G21800,SM,0.69,115,70.95,0,0,0,1,0,0.732,0.758,0.85,0.846,0.725,0.623,8.747457806,90.3203817,6
AT2G29740,SM,0.363,115,79.75,NA,NA,0,1,0,0.812,0.837,0.905,0.781,0.725,0.688,5.694445612,178.607968,9
AT2G15490,SM,,115,90.35,0,0,0,1,0,0.856,0.93,0.87,0.882,0.751,0.788,14.92461684,944.0983587,17
AT3G53305,SM,,,,NA,NA,0,1,0,,,,,,,,,
AT1G58260,SM,,,,0,0,0,1,0,,,,,,,,,
AT5G43935,SM,,,,0,0,0,0,0,,,,,,,,,
AT1G77530,SM,,,,0,0,0,1,0,,,,,,,,,
